id,lat,lng,coord_source,coord_precision,name,province
3-9(2)-2/69กพ,16.64828,99.52046,sibling,exact,บริษัท ธนะวัฒน์ แพลทตินั่ม สตาร์ช จำกัด,กำแพงเพชร
3-9(2)-4/57รย,13.028866666667,101.103,sibling,exact,บริษัท เพรซิเดนท์ฟลาวมิลล์ จำกัด,ระยอง
3-9(6)-4/26อย,14.188966666667,100.50818333333,sibling,exact,ที.เอช.เอช. (ประเทศไทย),พระนครศรีอยุธยา
3-90-6/65นว,15.369130818227,100.24298698825,sibling,exact,บริษัท จีจีซี เคทิส ไบโออินดัสเทรียล จำกัด,นครสวรรค์
3-91(1)-2/67สข,7.12088,100.57208,sibling,exact,บริษัท ไอ-เทล คอร์ปอเรชั่น จำกัด (มหาชน),สงขลา
3-92-32/63สค,13.578533333333,100.2887,sibling,exact,บริษัท เซาท์อีสต์เอเซี่ยนแพคเกจจิ่งแอนด์แคนนิ่ง จำกัด,สมุทรสาคร
3-92-7/58สค,13.584383333333,100.29171666667,sibling,exact,บริษัท แปซิฟิค ห้องเย็น จำกัด,สมุทรสาคร
ก2-12(5)-1/64,13.688120517604,100.62926643894,sibling,exact,บริษัท เมดดิซาย อินเตอร์เนชั่นแนล จำกัด,กรุงเทพมหานคร
ก2-28(1)-110/64,13.689598271523,100.6151761273,sibling,exact,บริษัท พี.เอ็น.แอล. จำกัด,กรุงเทพมหานคร
ก2-28(1)-81/64,13.638349274874,100.37122985243,sibling,exact,บริษัท เค.เจริญ เทรดดิ้ง จำกัด,กรุงเทพมหานคร
ก2-28(1)-87/64,13.689598271523,100.6151761273,sibling,exact,บริษัท บี.วี.แอล.เทรดดิ้ง จำกัด,กรุงเทพมหานคร
ก2-32(1)-2/64,13.637770214806,100.40308644547,sibling,exact,บริษัท สุขสวัสดิ์เพท จำกัด,กรุงเทพมหานคร
ก2-39-3/63,13.70695,100.41706666667,sibling,exact,บริษัท คิง แพคเกจจิ้ง จำกัด,กรุงเทพมหานคร
ก2-62-2/64,13.686610495148,100.43620391195,sibling,exact,บริษัท ฉัตรอินเตอร์ จำกัด,กรุงเทพมหานคร
ก2-77(2)-4/64,13.748667390765,100.74601867643,sibling,exact,-,กรุงเทพมหานคร
ก2-84(1)-4/64,13.746566666667,100.61925,sibling,exact,บริษัท บางกอก แอสเสย์ ออฟฟิส จำกัด,กรุงเทพมหานคร
ข3-102-1/59รย,12.65069,101.31995,sibling,exact,บริษัท อูเบะ เคมิคอลส์ (เอเชีย) จำกัด (มหาชน),ระยอง
ข3-106-74/62รย,13.005466666667,101.1297,sibling,exact,บริษัท สยามเอ็นไวรอนเมนทอลเทคโนโลยี่ จำกัด (มหาชน),ระยอง
