id,registration_display,fid,name,factory_type,province,district,sub_district,address_full,lat,lng,coord_source,last_seen_in_feed,absent_from_feed_as_of
จ3-41(1)-9/60นฐ,จ3-41(1)-9/60นฐ,"=""20730000925600""",บริษัท โอเอสพี เลเบิล(ไทยแลนด์) จำกัด,3,นครปฐม,สามพราน,ไร่ขิง,123/1 ม.10 ซ.ไร่ขิง 30 ถ.พุทธมณฑลสาย 5,13.737,100.283,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-9/61ปท,จ3-41(1)-9/61ปท,"=""20130300925618""",บริษัท ไฟว์ แอนด์ โฟร์ พริ้นติ้ง จำกัด,3,ปทุมธานี,ลำลูกกา,ลำลูกกา,19/9 ม.7,13.972,100.774,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/39นม,จ3-41(2)-1/39นม,"=""20300200125391""",บริษัท โชนัน โกเซอิ (ไทยแลนด์) จำกัด,3,นครราชสีมา,เมืองนครราชสีมา,หนองระเวียง,355 ม.6 ถ.ราชสีมา-โชคชัย,14.92535,102.17774,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/43รย,จ3-41(2)-1/43รย,"=""20210300125433""",บริษัท แพนอาร์ตคอมพิวเตอร์ จำกัด,3,ระยอง,เมืองระยอง,กะเฉด,81/31 ม.4 ซ.- ถ.-,12.804116666667,101.48413333333,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/51อย,จ3-41(2)-1/51อย,"=""20140000125518""",บริษัท เทคโน เรซิน เซอร์วิส จำกัด,3,พระนครศรีอยุธยา,อุทัย,บ้านช้าง,94 ม.3,14.30157,100.68713,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/54ฉช,จ3-41(2)-1/54ฉช,"=""20240100125549""",บริษัท เชี่ยวชาญ โมลด์ แอนด์ ดาย จำกัด,3,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,คลองอุดมชลจร,2/4 ม.1 ถ.สุวินทวงค์,13.78357,100.96006,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/56ชบ,จ3-41(2)-1/56ชบ,"=""20200100125568""",บริษัท ดี เอส ไอ เลเซอร์ เซอร์วิส (ไทยแลนด์) จำกัด,3,ชลบุรี,เมืองชลบุรี,หนองไม้แดง,33/1 ม.5 ซ.วัดดู่ตะเภา ถ.บายพาสชลบุรี,13.4103382934788,101.00817146237,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/59ชบ,จ3-41(2)-1/59ชบ,"=""20200300125590""",บริษัท ที.เอ.พี. ดายส์ เมคกิ้ง จำกัด,3,ชลบุรี,เมืองชลบุรี,หนองข้างคอก,8/1 ม.5,13.305,101.006,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-1/60อด,จ3-41(2)-1/60อด,"=""20410000125606""",ห้างหุ้นส่วนจำกัด บี.เค.เม็ททอล ชีท,3,อุดรธานี,เมืองอุดรธานี,หมากแข้ง,68 ม.4 ซ.บ้านโพนบก ถ.เลี่ยงเมือง,17.411,102.792,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(2)-10/58รย,จ3-41(2)-10/58รย,"=""20210001025585""",บริษัท กลอบอลซีล จำกัด,3,ระยอง,เมืองระยอง,ทับมา,85/4 ถ.ทางหลวงหมายเลย 36,12.708,101.247,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
